# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
292,16_16,SYSTEM,16,0.0,1
292,16_16,Role 1,16,0.26,1
293,26_97,SYSTEM,26,0.0,1
293,26_97,Role 1,97,0.04,1
294,121_96,SYSTEM,121,0.0,1
294,121_96,Role 1,96,0.04,1
295,123_6,SYSTEM,123,0.0,1
295,123_6,Role 1,6,0.68,1
296,13_32,SYSTEM,13,0.0,1
296,13_32,Role 1,32,0.13,1
297,3_47,SYSTEM,3,0.0,1
297,3_47,Role 1,47,0.09,1
298,11_17,SYSTEM,11,0.0,1
298,11_17,Role 1,17,0.24,1
299,4_6,SYSTEM,4,0.0,1
299,4_6,Role 1,6,0.67,1
300,25_17,SYSTEM,25,0.0,1
300,25_17,Role 1,17,0.24,1
301,2_7,SYSTEM,2,0.0,1
301,2_7,Role 1,7,0.57,1
302,9_25,SYSTEM,9,0.0,1
302,9_25,Role 1,25,0.17,1
303,3_9,SYSTEM,3,0.0,1
303,3_9,Role 1,9,0.44,1
304,25_8,SYSTEM,25,0.0,1
304,25_8,Role 1,8,0.5,1
305,12_31,SYSTEM,12,0.0,1
305,12_31,Role 1,31,0.13,1
306,8_5,SYSTEM,8,0.0,1
306,8_5,Role 1,5,0.81,1
307,3_10,SYSTEM,3,0.0,1
307,3_10,Role 1,10,0.41,1
308,36_14,SYSTEM,36,0.0,1
308,36_14,Role 1,14,0.29,1
309,2_17,SYSTEM,2,0.0,1
309,2_17,Role 1,17,0.23,1
310,92_14,SYSTEM,92,0.0,1
310,92_14,Role 1,14,0.28,1
311,13_43,SYSTEM,13,0.0,1
311,13_43,Role 1,43,0.09,1
312,85_11,SYSTEM,85,0.0,1
312,85_11,Role 1,11,0.37,1
313,118_96,SYSTEM,118,0.0,1
313,118_96,Role 1,96,0.04,1
314,7_19,SYSTEM,7,0.0,1
314,7_19,Role 1,19,0.22,1
315,12_21,SYSTEM,12,0.0,1
315,12_21,Role 1,21,0.19,1
316,7_41,SYSTEM,7,0.0,1
316,7_41,Role 1,41,0.1,1
317,8_29,SYSTEM,8,0.0,1
317,8_29,Role 1,29,0.14,1
318,15_47,SYSTEM,15,0.0,1
318,15_47,Role 1,47,0.08,1
319,28_49,SYSTEM,28,0.0,1
319,28_49,Role 1,49,0.08,1
320,3_11,SYSTEM,3,0.0,1
320,3_11,Role 1,11,0.36,1
321,104_83,SYSTEM,104,0.0,1
321,104_83,Role 1,83,0.05,1
322,109_56,SYSTEM,109,0.0,1
322,109_56,Role 1,56,0.07,1
323,15_5,SYSTEM,15,0.0,1
323,15_5,Role 1,5,0.81,1
324,116_43,SYSTEM,116,0.0,1
324,116_43,Role 1,43,0.09,1
325,22_5,SYSTEM,22,0.0,1
325,22_5,Role 1,5,0.8,1
326,13_5,SYSTEM,13,0.0,1
326,13_5,Role 1,5,0.81,1
327,13_7,SYSTEM,13,0.0,1
327,13_7,Role 1,7,0.59,1
328,122_88,SYSTEM,122,0.0,1
328,122_88,Role 1,88,0.05,1
329,2_39,SYSTEM,2,0.0,1
329,2_39,Role 1,39,0.1,1
330,18_8,SYSTEM,18,0.0,1
330,18_8,Role 1,8,0.51,1
331,3_25,SYSTEM,3,0.0,1
331,3_25,Role 1,25,0.16,1
332,7_40,SYSTEM,7,0.0,1
332,7_40,Role 1,40,0.1,1
333,1_11,SYSTEM,1,0.0,1
333,1_11,Role 1,11,0.35,1
334,113_44,SYSTEM,113,0.0,1
334,113_44,Role 1,44,0.09,1
335,9_10,SYSTEM,9,0.0,1
335,9_10,Role 1,10,0.41,1
336,2_43,SYSTEM,2,0.0,1
336,2_43,Role 1,43,0.09,1
337,18_5,SYSTEM,18,0.0,1
337,18_5,Role 1,5,0.8,1
338,122_94,SYSTEM,122,0.0,1
338,122_94,Role 1,94,0.04,1
339,7_7,SYSTEM,7,0.0,1
339,7_7,Role 1,7,0.58,1
340,5_4,SYSTEM,5,0.0,1
340,5_4,Role 1,4,0.97,1
341,86_38,SYSTEM,86,0.0,1
341,86_38,Role 1,38,0.11,1
342,6_8,SYSTEM,6,0.0,1
