# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
178,3_30_58,Role 2,58,0.89,1
179,5_34_66,SYSTEM,5,0.0,1
179,5_34_66,Role 1,34,0.02,1
179,5_34_66,Role 2,66,0.89,1
180,2_15_40,SYSTEM,2,0.0,1
180,2_15_40,Role 1,15,0.03,1
180,2_15_40,Role 2,40,0.95,1
181,36_30_65,SYSTEM,36,0.0,1
181,36_30_65,Role 1,30,0.02,1
181,36_30_65,Role 2,65,0.92,1
182,3_11_59,SYSTEM,3,0.0,1
182,3_11_59,Role 1,11,0.06,1
182,3_11_59,Role 2,59,0.92,1
183,7_3_59,SYSTEM,7,0.0,1
183,7_3_59,Role 1,3,0.22,1
183,7_3_59,Role 2,59,0.93,1
184,2_16_54,SYSTEM,2,0.0,1
184,2_16_54,Role 1,16,0.04,1
184,2_16_54,Role 2,54,0.88,1
185,43_27_64,SYSTEM,43,0.0,1
185,43_27_64,Role 1,27,0.02,1
185,43_27_64,Role 2,64,0.88,1
186,3_4_62,SYSTEM,3,0.0,1
186,3_4_62,Role 1,4,0.17,1
186,3_4_62,Role 2,62,0.92,1
187,5_12_46,SYSTEM,5,0.0,1
187,5_12_46,Role 1,12,0.04,1
187,5_12_46,Role 2,46,0.93,1
188,7_5_66,SYSTEM,7,0.0,1
188,7_5_66,Role 1,5,0.15,1
188,7_5_66,Role 2,66,0.93,1
189,3_3_65,SYSTEM,3,0.0,1
189,3_3_65,Role 1,3,0.24,1
189,3_3_65,Role 2,65,0.9,1
190,7_14_59,SYSTEM,7,0.0,1
190,7_14_59,Role 1,14,0.05,1
190,7_14_59,Role 2,59,0.92,1
191,3_30_63,SYSTEM,3,0.0,1
191,3_30_63,Role 1,30,0.02,1
191,3_30_63,Role 2,63,0.9,1
192,2_13_65,SYSTEM,2,0.0,1
192,2_13_65,Role 1,13,0.05,1
192,2_13_65,Role 2,65,0.9,1
193,10_2_64,SYSTEM,10,0.0,1
193,10_2_64,Role 1,2,0.36,1
193,10_2_64,Role 2,64,0.89,1
194,4_10_60,SYSTEM,4,0.0,1
194,4_10_60,Role 1,10,0.07,1
194,4_10_60,Role 2,60,0.93,1
195,47_32_66,SYSTEM,47,0.0,1
195,47_32_66,Role 1,32,0.02,1
195,47_32_66,Role 2,66,0.81,1
196,7_4_56,SYSTEM,7,0.0,1
196,7_4_56,Role 1,4,0.16,1
196,7_4_56,Role 2,56,0.93,1
197,7_9_66,SYSTEM,7,0.0,1
197,7_9_66,Role 1,9,0.08,1
197,7_9_66,Role 2,66,0.92,1
198,3_12_66,SYSTEM,3,0.0,1
198,3_12_66,Role 1,12,0.06,1
198,3_12_66,Role 2,66,0.92,1
199,13_35_66,SYSTEM,13,0.0,1
199,13_35_66,Role 1,35,0.02,1
199,13_35_66,Role 2,66,0.86,1
200,1_4_63,SYSTEM,1,0.0,1
200,1_4_63,Role 1,4,0.17,1
200,1_4_63,Role 2,63,0.89,1
201,36_34_66,SYSTEM,36,0.0,1
201,36_34_66,Role 1,34,0.02,1
201,36_34_66,Role 2,66,0.9,1
202,48_35_55,SYSTEM,48,0.0,1
